tconst,ordering,nconst,category,job,characters
tt8054608,4,nm9653683,actor,\N,"[""The Priest""]"
tt8054608,5,nm0198732,actor,\N,"[""Chief Inspector Milan""]"
tt8054608,6,nm1720176,actress,\N,"[""Vaska""]"
tt8054608,7,nm0592285,actor,\N,"[""Stoyan""]"
tt8054608,8,nm9653684,actress,\N,"[""Blagica""]"
tt8054608,9,nm4630025,actor,\N,"[""Older Officer Vasko""]"
tt8054608,10,nm1301166,actor,\N,"[""The Prosecutor""]"
tt8054608,11,nm0835294,director,\N,\N
tt8054608,12,nm0835294,writer,\N,\N
tt8054608,13,nm1636814,writer,\N,\N
tt8054608,14,nm2767377,composer,\N,\N
tt8054608,15,nm0756738,cinematographer,\N,\N
tt8054608,16,nm0236549,editor,\N,\N
tt8054608,17,nm1145969,casting_director,\N,\N
tt8054608,18,nm2461777,production_designer,\N,\N
tt8145202,1,nm9668853,actor,\N,"[""Brett Blackmore""]"
tt8145202,2,nm5589690,actress,\N,"[""Kayla Pierce""]"
tt8145202,3,nm3851090,actor,\N,"[""Clint Clark""]"
tt8145202,4,nm3557613,actor,\N,"[""Nico Gomes""]"
tt8145202,5,nm2294573,actor,\N,"[""Les King""]"
tt8145202,6,nm0005278,actor,\N,"[""Jeffrey""]"
tt8145202,7,nm0954036,actress,\N,"[""Kristen""]"
tt8145202,8,nm5137104,actress,\N,"[""Stacy Blau""]"
tt8145202,9,nm0612534,actor,\N,"[""Dee""]"
tt8145202,10,nm0005179,actress,\N,"[""Principal Baird""]"
tt8145202,11,nm0003948,director,director,\N
tt8145202,12,nm0003948,writer,\N,\N
tt8145202,13,nm1908145,writer,\N,\N
tt8145202,14,nm0003948,producer,producer,\N
tt8145202,15,nm1908145,producer,producer,\N
tt8145202,16,nm1529449,producer,producer,\N
tt8145202,17,nm1550279,composer,\N,\N
tt8145202,18,nm2562184,cinematographer,\N,\N
tt8145202,19,nm0337669,editor,\N,\N
tt8145202,20,nm0762262,casting_director,\N,\N
tt8145202,21,nm2103472,casting_director,\N,\N
tt8145202,22,nm5100836,production_designer,\N,\N
tt8359840,1,nm0954704,actor,\N,"[""Commissaire Yacoub Daoud""]"
tt8359840,2,nm2244205,actress,\N,"[""Claude""]"
tt8359840,3,nm1271759,actress,\N,"[""Marie Carpentier""]"
tt8359840,4,nm6995530,actor,\N,"[""Lieutenant Louis Cotterel""]"
tt8359840,5,nm0216599,actor,\N,"[""Descamps""]"
tt8359840,6,nm2732233,actress,\N,"[""La soeur du réveillon""]"
tt8359840,7,nm10930426,actress,\N,"[""La mère du réveillon""]"
tt8359840,8,nm10930427,actor,\N,"[""Le jeune homme torse nu""]"
tt8359840,9,nm10930428,actor,\N,"[""Le voisin du réveillon""]"
tt8359840,10,nm10930429,actor,\N,"[""Simon""]"
tt8359840,11,nm0221611,director,\N,\N
tt8359840,12,nm0098861,writer,"film: Roubaix, Commissariat central",\N
tt8359840,13,nm0221611,writer,dialogue,\N
tt8359840,14,nm5674565,writer,dialogue,\N
tt8359840,15,nm0146434,producer,producer,\N
tt8359840,16,nm0370690,producer,producer,\N
tt8359840,17,nm0815081,producer,producer,\N
tt8359840,18,nm1055564,composer,\N,\N
tt8359840,19,nm0523985,cinematographer,\N,\N
tt8359840,20,nm0108484,editor,editor,\N
tt8359840,21,nm4438591,casting_director,\N,\N
tt8359840,22,nm1142241,casting_director,\N,\N
tt8359840,23,nm2122114,production_designer,\N,\N
tt8399690,1,nm14161835,actor,\N,\N
tt8399690,2,nm2539953,actress,\N,"[""Narrator""]"
tt8399690,3,nm0047028,director,\N,\N
tt8399690,4,nm2344305,director,\N,\N
tt8399690,5,nm0671640,director,\N,\N
tt8399690,6,nm0047028,writer,\N,\N
tt8399690,7,nm0671640,producer,executive producer,\N
tt8399690,8,nm10112676,composer,\N,\N
tt8399690,9,nm10112679,composer,\N,\N
tt8399690,10,nm0671640,cinematographer,\N,\N
tt8399690,11,nm0772378,editor,\N,\N
tt8980602,1,nm10596532,actress,\N,"[""Gracie Gulliver""]"
tt8980602,2,nm0111013,actor,\N,"[""Abe Applebaum""]"
tt8980602,3,nm7386306,actor,\N,"[""Corey""]"
tt8980602,4,nm0187724,actress,\N,"[""Mrs. Applebaum""]"
tt8980602,5,nm0926439,actor,\N,"[""Mr. Applebaum""]"
tt8980602,6,nm2287876,actor,\N,"[""Barkeep""]"
tt8980602,7,nm1519090,actor,\N,"[""Rory Beans""]"
tt8980602,8,nm7560561,actress,\N,"[""Barmaid""]"
tt8980602,9,nm9888186,actor,\N,"[""Young Abe""]"
tt8980602,10,nm12246226,actress,\N,"[""Tracy""]"
tt8980602,11,nm2530291,director,director,\N
tt8980602,12,nm2530291,writer,written by,\N
tt8980602,13,nm5558225,producer,producer,\N
tt8980602,14,nm5069729,producer,producer,\N
tt8980602,15,nm2340891,composer,\N,\N
tt8980602,16,nm3042504,cinematographer,\N,\N
tt8980602,17,nm3896936,editor,\N,\N
tt8980602,18,nm3973782,casting_director,\N,\N
tt8980602,19,nm5173868,production_designer,\N,\N
tt9013182,1,nm2334393,actress,\N,"[""Jodie Snyman""]"
tt9013182,2,nm1412281,actress,\N,"[""Ntombizonke Bapai""]"
tt9013182,3,nm10738570,actress,\N,"[""Young Ntombi""]"
tt9013182,4,nm8885464,actress,\N,"[""Teenage Ntombi""]"
tt9013182,5,nm1824509,actor,\N,"[""FJ Nolte""]"
tt9013182,6,nm1708171,actor,\N,"[""Captain George Mululeki""]"
tt9013182,7,nm3125001,actor,\N,"[""Investigating Officer Samuel Arendse""]"
tt9013182,8,nm3344158,actor,\N,"[""Gert de Jager""]"
tt9013182,9,nm0576999,actress,\N,"[""Gert's Girlfriend""]"
tt9013182,10,nm4472845,actor,\N,"[""Iranian Boss""]"
tt9013182,11,nm1804518,director,\N,\N
tt9013182,12,nm9946617,writer,\N,\N
tt9013182,13,nm10275441,writer,written by,\N
tt9013182,14,nm6505962,writer,written by,\N
tt9013182,15,nm1804518,writer,executive story editor,\N
tt9013182,16,nm4912471,producer,producer,\N
tt9013182,17,nm9946617,producer,producer,\N
tt9013182,18,nm2321778,producer,producer,\N
tt9013182,19,nm3066687,producer,producer,\N
tt9013182,20,nm2034608,composer,\N,\N
tt9013182,21,nm2344053,cinematographer,\N,\N
tt9013182,22,nm5728010,editor,\N,\N
tt9013182,23,nm2667044,casting_director,\N,\N
tt9013182,24,nm1547608,production_designer,\N,\N
tt9016296,1,nm0418450,actress,\N,"[""Isabelle""]"
tt9016296,2,nm1687861,actor,\N,"[""Attila""]"
tt9016296,3,nm3947700,actress,\N,"[""Elke Hammler""]"
tt9016296,4,nm0960104,actor,\N,"[""Ajdin""]"
tt9016296,5,nm0604331,actress,\N,"[""Jacqueline""]"
tt9016296,6,nm0868881,actor,\N,"[""Philippe Torreton""]"
tt9016296,7,nm0896726,actor,\N,"[""Christian""]"
tt9016296,8,nm1738443,actress,\N,"[""Agnès""]"
tt9016296,9,nm0126875,actor,\N,"[""Le directeur""]"
tt9016296,10,nm1356465,actress,\N,"[""Francine""]"
tt9016296,11,nm0499448,director,\N,\N
tt9016296,12,nm0174568,writer,screenplay,\N
tt9016296,13,nm0499448,writer,adaptation and dialogue,\N
tt9016296,14,nm0109393,producer,producer,\N
tt9016296,15,nm0499448,producer,producer,\N
tt9016296,16,nm0023940,composer,\N,\N
tt9016296,17,nm0183140,cinematographer,\N,\N
tt9016296,18,nm0781365,editor,\N,\N
tt9016296,19,nm1637538,casting_director,\N,\N
tt9016296,20,nm1155082,production_designer,\N,\N
tt9024106,1,nm5123098,actress,\N,"[""Abby""]"
tt9024106,2,nm5618577,actor,\N,"[""Doug""]"
