index,backdrop_path,overview,poster_path,original_language,vote_average,origin_country,parentTconst,title_series,genres,startYear,genres_,voisin1,voisin2,voisin3,voisin4
42,/olMqKtUQp4Hv4H2MErI2mrBzXZr.jpg,"Four stylish and ambitious best girlfriends in Harlem, New York City: a rising star professor struggling to make space for her love life; a savvy tech entrepreneur always dating someone new; a no-filter singer; and a hopeless romantic fashion designer. Together, they level up into the next phase of their careers, relationships, and big city dreams.",/qDK5ZUl2ad2IxoRABbuvVt2NW9v.jpg,en,7.8,['US'],tt10608454,Harlem,Comedy,2021.0,5,Harlem,Kumovi,Tyler Perry's Young Dylan,Geunyeoui Sasaenghwal
43,/pRJ1ANZcsL6CqFDAtp7Pb1YGZxU.jpg,"Young diplomat Álex Ventura teams with a combative public official and a brilliant American lawyer to recover treasure stolen by Frank Wild, who travels the world plundering historic items from the ocean.",/nkMNmEzGCPCKUSrBeaLwJFi0SjW.jpg,es,7.0,['ES'],tt10714778,La Fortuna,Drama,2021.0,0,La Fortuna,J'ai menti,The Responder,Suits
44,/iU9XUnuBL3AwLYguBywg2lpp0sZ.jpg,"Set in the small hamlet of Lark Rise and the wealthier neighbouring market town, Candleford, the series chronicles the daily lives of farm-workers, craftsmen and gentry at the end of the 19th Century. Lark Rise to Candleford is a love letter to a vanished corner of rural England and a heart-warming drama series teeming with wit, wisdom and romance.",/ygnOo7IBXLoGsIHowAezLI4k0BD.jpg,en,8.3,['GB'],tt1077744,Lark Rise to Candleford,Drama,2008.0,0,Lark Rise to Candleford,Downton Abbey,Nord et Sud,True Detective
46,/adSgugIoQiEQw3DLIwANdyjgrXC.jpg,"Jenny Jang is poor and works at bathhouse in Gangnam, Seoul. She starts a new job as a housemaid for a conglomerate family. She becomes successful and then runs J Boutique. She also begins work as a lobbyist. Jenny Jang gets involved in an international city development project.",/ealFfjKtftXqmWesZM6AKQlV264.jpg,ko,7.5,['KR'],tt10850842,Sikeurit Butikeu,Drama,2019.0,0,Sikeurit Butikeu,Le Serpent,Mellangkollia,Devils
47,/7urszXOp3Bkt4hMrj9W0wiXuBAb.jpg,"The daily life of two neighboring families, the Bouley and the Lepic, with literally opposite educational methods. Despite their social and cultural differences, they are friends and do not hesitate to face worries...",/kbhDlWULVibcsiNLYDBVXnpINfW.jpg,fr,7.6,['FR'],tt1101174,"Fais pas ci, fais pas ça",Comedy,2007.0,5,"Fais pas ci, fais pas ça",A Favorita,"State of play, jeux de pouvoir",Workingirls
48,/vhQffuCmvj9LGl5ZaEdt90VjfcM.jpg,Young Dylan’s grandmother decides to send him to live indefinitely with her affluent son’s family. The Wilson family household is soon turned upside down as lifestyles clash between aspiring hip hop star and his straight-laced cousins.,/gch0Y3uJTsHhbEgMdmpDx9Wippc.jpg,en,7.9,['US'],tt11097072,Tyler Perry's Young Dylan,Comedy,2020.0,5,Tyler Perry's Young Dylan,Aynen Aynen,Harlem,Kumovi
49,/dQkoLG7upYdTQI8Vvifs0jmkVUw.jpg,"Zhang Qing, a present-day college student in culture and history major wants to study in professor Ye's postgraduate class, so he decides to write a historical fiction to elaborate his perspective of analyzing ancient literature history with modern concept. In the fiction, Zhang himself acts as a young man Fan Xian with mysterious life who lives in a remote seaside town of Kingdom Qing in his childhood, under the help of a mysterious mentor and a blindfolded watchman. Fan goes to the capital when he grows up, where he experiences plenty of ordeal and temper. Fan persists in adhering the rule of justice and goodness and lives his own glorious life.",/vlHJfLsduZiILN8eYdN57kHZTcQ.jpg,zh,8.124,['CN'],tt11273352,Qing yu nian,Drama,2019.0,0,Qing yu nian,The Chi,Record of Youth,Zakhm Kari
50,/e6pZu9NLb1QLxGIKKsXb79E6hvO.jpg,A look at relevant scientific issues,/h7JbyWsJWoqBsNfVrrV6JWQbL6r.jpg,fr,8.0,['FR'],tt11470580,Science grand format,Documentary,2016.0,7,Science grand format,Nanaroscope!,Master's Sun,Binny et le fantôme
52,/9TEWo6dVn9cHGuegR2gXkf3J7jI.jpg,"Under pressure, fraying at the edges. In relentless night-time Liverpool, copper Chris is paired with a rookie. Will they save or destroy each other?",/mU51EB4OSEL7oxMIub1Rl7N0xFB.jpg,en,7.0,['GB'],tt11899030,The Responder,Drama,2022.0,0,The Responder,Suits,J'ai menti,La Fortuna
53,/627K48naKH2Y3Rz47Ydra4qktdI.jpg,"Follow Captain Christopher Pike, Science Officer Spock and Number One in the years before Captain Kirk boarded the U.S.S. Enterprise, as they explore new worlds around the galaxy.",/7Cp5w4X8xH2x4xDk67C5kMC5ePA.jpg,en,8.138,['US'],tt12327578,Star Trek: Strange New Worlds,Sci-Fi & Fantasy,2022.0,8,Star Trek: Strange New Worlds,The Time Traveler's Wife,Nanaroscope!,Science grand format
54,/3qSacGout8iH1VqMmJQx7cmBykY.jpg,"Sin Senos no hay Paraíso is a RTI Colombia–Telemundo remake and loose adaptation of the original Colombian series Sin Tetas No Hay Paraíso. The series is based on investigative journalist Gustavo Bolivar's debut novel and features an attractive young prostitute who desires to have massive breast implants in order to attract a rich cocaine smuggler. It is also based on a true story. The series premiered on June 16, 2008;",/pSsQ5rFalyT7ehwgeSlITgBSi5S.jpg,es,7.475,['CO'],tt1244387,Sin senos no hay paraíso,Action & Adventure,2008.0,1,Sin senos no hay paraíso,Rosario Tijeras,Tree with Deep Roots,Les oubliées
55,/fDBIVzxxtQ6jA0AindKKTkWEMq2.jpg,"Donatela and Flora, two friends who became rivals. One of them committed a homicide and pretends to be innocent. There are two versions for the same story. Who, after all, is telling the truth? Donatela or Flora?",/9P1bP4G6t8A3BCoscADJV2Rpsi1.jpg,pt,7.7,['BR'],tt1256139,A Favorita,Soap,2008.0,4,A Favorita,"Fais pas ci, fais pas ça",Rita & Whatsit,Verdades Secretas
