index,backdrop_path,overview,poster_path,original_language,vote_average,origin_country,parentTconst,ordering,title_series,genres,startYear,voisin1,voisin2,voisin3,voisin4
22244,/eVGaiNUPhwKyiuWH6LfNa60JFyQ.jpg,"A whip-smart doctor comes to the U.S. for a medical treatment to save her ailing son. But when the system fails and pushes her into hiding, she refuses to be beaten down and marginalized. Instead, she becomes a cleaning lady for the mob and starts playing the game by her own rules.",/aoTQhDKiuKpn599yNxp03wr2ZHu.jpg,en,7.686,['US'],tt11188682,4.0,The Cleaning Lady,Crime,2022.0,The Cleaning Lady,Kan Çiçekleri,Lupin,The White Lotus
22265,/67fcIGb48dlUTFlERayDgMuRtuG.jpg,A 13-year-old Sicilian girl must contend with a viral contagion that has killed off all adults on the island as she sets out in search of her kidnapped brother.,/957Zi8wV3Em9NDEiRLlkkF27dX6.jpg,it,7.108,['IT'],tt11199132,2.0,Anna,Drama,2021.0,Anna,Sijipeuseu: The Myth,Lopez contre Lopez,Braqueurs: La série
22308,/b5MQqMNvnikh6qBdg9fszavXaVa.jpg,Korean emperor Lee Gon tries to close the doors to a parallel world which was opened by demons; a detective tries to protect the people and the one she loves.,/7SLlbkzOJb8v9wXVYIcqozx2hxe.jpg,ko,8.3,['KR'],tt11228748,4.0,The King: Eternal Monarch,Sci-Fi & Fantasy,2020.0,The King: Eternal Monarch,Son Yaz,Tozkoparan Iskender,Kingdom
22533,/lOM5ho8qmqQh0F6cn1DxGB61RvR.jpg,"Seeking to avenge her father's death, a young woman becomes entangled in the web of the Fury, peacekeeper of the Paris criminal underworld.",/8sHKc6kNKjdhvHBP2c5zoSS16v5.jpg,fr,7.3,['FR'],tt11384300,2.0,Furies,Action & Adventure,2024.0,Chief Detective 1958,Furies,Safe Home,Tapie
23166,/nUu39i3tHHvzjmAEwCb0tem6U11.jpg,"Chris is on a mission to live better for longer. With the help of top scientists, he takes on six epic challenges to test mind and body to the max.",/mGrgY9FoZiJcwklEiEzyWD2DST1.jpg,en,8.1,"['GB', 'US']",tt11714334,4.0,Sans Limites Avec Chris Hemsworth,Documentary,2022.0,Sans Limites Avec Chris Hemsworth,Shuroop,"Ninjago, le soulèvement des dragons",Le livre de notre destin
23195,/9lwYGM97dBfu3lpCdt6VpohgjvV.jpg,"Tommy Egan leaves New York behind and plans to take on Chicago, using his outsider status to break all the local rules and rewrite them on his quest to become the biggest drug dealer in the city.",/cR0ursLXoT0zfX9XDGAzQRAnK0W.jpg,en,8.417,['US'],tt11761194,4.0,Power Book IV: Force,Crime,2022.0,Power Book IV: Force,Yakhanyeongung,Snowdrop,Welcome to Samdalri
23322,/2drdOi1VuQ773aJMnTWtRnCayAK.jpg,"The Bellflower Bunnies is an animated series based on the Beechwood Bunny Tales book series by Geneviève Huriet. The show debuted on the TF1 network with four episodes airing between December 24 and December 28, 2001. It is a co-production between France's TF1 and several Canadian companies.

The show centers on the adventures and exploits of the Bellflower family, a clan of seven rabbits who live in Beechwood Grove. The two adults in the family, Papa Bramble and Aunt Zinnia, take care of their five children: Periwinkle, Poppy, Mistletoe, Dandelion and Violette.",/vJj2zCjIg3R8BwuzuOYCKuLjC36.jpg,fr,8.0,"['FR', 'CA', 'LU']",tt1185090,2.0,La famille Passiflore,Animation,2001.0,La famille Passiflore,Gokusen,BeTipul,Engrenages
23403,/m72eyfKeYEtBJlALkt9FNdnNoBY.jpg,"Everything starts with a job opportunity presented to Captain Adem, who left the Special Forces. The doors of a new life have opened for the happy nuclear family that Adem created with his wife Nevin and their little daughter Ece. All Adem has to do is to protect Yasemin, the young wife of Timur, a rich and powerful businessman. For Adem, a former maroon beret, this job is almost child's play after all the dangerous operations he has participated in. Nevin is happy that they will finally be at peace. When Adem accepts the job offer, he and his family step into a completely different world to which they are unfamiliar.",/6b9vjHEXGWQkYIqR6PALpKmya9n.jpg,tr,8.667,"['TO', 'TR']",tt11896074,4.0,Yeni Hayat,Drama,2020.0,Yeni Hayat,Shen Yin Wangzuo,SPY×FAMILY,The Secret Life of Amy Bensen
23623,/zVtgdo5DWXThOUVLO48q98QWHay.jpg,"Two college students, Frances and Bobbi, forge a strange and unexpected relationship with a married couple.",/kk6kXltSgeAA1yWiRaZ1sOexm1V.jpg,en,7.3,['US'],tt11997646,4.0,Conversations with Friends,Drama,2022.0,Conversations with Friends,Tapie,Safe Home,Song of the Bandits
23629,/lM9LGo4qnpOl0l94hE0DLXbcaXn.jpg,"Panchayat is a comedy-drama, which captures the journey of an engineering graduate Abhishek, who for lack of a better job option joins as secretary of a panchayat office in a remote village of Uttar Pradesh. Stuck between crazy villagers and a difficult village lifestyle Abhishek starts his job with the sole motivation of getting out of there as soon as possible, for which he even prepares for CAT.",/A1csByBkxUkBAmnQB8CuuKDonWR.jpg,hi,8.0,['IN'],tt12004706,4.0,Panchayat,Comedy,2020.0,Panchayat,Génération Paname,Legacy,Black Mafia Family
